Model,Epoch,Accuracy,Loss
Keras,54,0.8533333539962769,0.321583092212677
Keras,55,0.8566666841506958,0.32109883427619934
Keras,56,0.8566666841506958,0.3208736479282379
Keras,57,0.8566666841506958,0.32074299454689026
Keras,58,0.8566666841506958,0.3203856348991394
Keras,59,0.8566666841506958,0.32004573941230774
Keras,60,0.8566666841506958,0.32012876868247986
Keras,61,0.8566666841506958,0.31965506076812744
Keras,62,0.8566666841506958,0.31924116611480713
Keras,63,0.8566666841506958,0.31892067193984985
Keras,64,0.8566666841506958,0.3193143308162689
Keras,65,0.8566666841506958,0.3184468746185303
Keras,66,0.8566666841506958,0.31826767325401306
Keras,67,0.8566666841506958,0.31801632046699524
Keras,68,0.8566666841506958,0.3176925778388977
Keras,69,0.8566666841506958,0.31738215684890747
Keras,70,0.8566666841506958,0.3169804513454437
Keras,71,0.8566666841506958,0.31688976287841797
Keras,72,0.8566666841506958,0.31647789478302
Keras,73,0.8566666841506958,0.31628304719924927
Keras,74,0.8566666841506958,0.3162483274936676
Keras,75,0.8566666841506958,0.31598180532455444
Keras,76,0.8566666841506958,0.3162960112094879
Keras,77,0.8566666841506958,0.3160048723220825
Keras,78,0.8566666841506958,0.31517088413238525
Keras,79,0.8566666841506958,0.31529536843299866
Keras,80,0.8566666841506958,0.31465864181518555
Keras,81,0.8566666841506958,0.31480202078819275
Keras,82,0.8600000143051147,0.3147904574871063
Keras,83,0.8600000143051147,0.31422895193099976
Keras,84,0.8600000143051147,0.3143232762813568
Keras,85,0.8600000143051147,0.3139106035232544
Keras,86,0.8600000143051147,0.3138103187084198
Keras,87,0.8566666841506958,0.314008504152298
Keras,88,0.8566666841506958,0.3133959174156189
Keras,89,0.8600000143051147,0.313311904668808
Keras,90,0.8600000143051147,0.31305548548698425
Keras,91,0.8600000143051147,0.3132569193840027
Keras,92,0.8600000143051147,0.3128929138183594
Keras,93,0.8600000143051147,0.31285572052001953
Keras,94,0.8600000143051147,0.31238865852355957
Keras,95,0.8600000143051147,0.31217965483665466
Keras,96,0.8600000143051147,0.31274154782295227
Keras,97,0.8600000143051147,0.31192249059677124
Keras,98,0.8600000143051147,0.3118899166584015
Keras,99,0.8633333444595337,0.31190353631973267
PyTorch,0,0.5,0.6909955143928528
PyTorch,1,0.5,0.6830530762672424
PyTorch,2,0.5666666626930237,0.6747749447822571
PyTorch,3,0.6399999856948853,0.6657612323760986
PyTorch,4,0.6933333277702332,0.6559692621231079
PyTorch,5,0.7266666889190674,0.6452636122703552
PyTorch,6,0.746666669845581,0.6335985660552979
PyTorch,7,0.75,0.6209976673126221
PyTorch,8,0.7566666603088379,0.6073690056800842
PyTorch,9,0.75,0.5927883386611938
PyTorch,10,0.7566666603088379,0.5773051381111145
PyTorch,11,0.7699999809265137,0.5611245036125183
PyTorch,12,0.7666666507720947,0.5443023443222046
PyTorch,13,0.7666666507720947,0.5271688103675842
PyTorch,14,0.7666666507720947,0.5100278258323669
PyTorch,15,0.7733333110809326,0.49321249127388
PyTorch,16,0.7733333110809326,0.47704288363456726
PyTorch,17,0.7866666913032532,0.4618685841560364
PyTorch,18,0.7866666913032532,0.4479314088821411
PyTorch,19,0.7933333516120911,0.43533965945243835
PyTorch,20,0.800000011920929,0.42409631609916687
PyTorch,21,0.800000011920929,0.4143695533275604
PyTorch,22,0.8066666722297668,0.4059877097606659
PyTorch,23,0.8066666722297668,0.39881956577301025
PyTorch,24,0.8133333325386047,0.3926960229873657
PyTorch,25,0.8166666626930237,0.3871460258960724
PyTorch,26,0.8100000023841858,0.38177379965782166
PyTorch,27,0.8100000023841858,0.3768894076347351
PyTorch,28,0.8100000023841858,0.3725093603134155
PyTorch,29,0.8100000023841858,0.3680367171764374
PyTorch,30,0.8199999928474426,0.3633537292480469
PyTorch,31,0.8233333230018616,0.358514666557312
PyTorch,32,0.8299999833106995,0.3536078929901123
PyTorch,33,0.8333333134651184,0.34862563014030457
PyTorch,34,0.8333333134651184,0.34369832277297974
PyTorch,35,0.8433333039283752,0.3390749990940094
PyTorch,36,0.846666693687439,0.33491450548171997
PyTorch,37,0.846666693687439,0.33130621910095215
PyTorch,38,0.8500000238418579,0.32816365361213684
PyTorch,39,0.8500000238418579,0.3256196081638336
PyTorch,40,0.8533333539962769,0.32366159558296204
PyTorch,41,0.8533333539962769,0.3221653401851654
PyTorch,42,0.8533333539962769,0.3210308253765106
PyTorch,43,0.8533333539962769,0.3201467990875244
PyTorch,44,0.8533333539962769,0.31930118799209595
PyTorch,45,0.8600000143051147,0.3183732330799103
PyTorch,46,0.8600000143051147,0.31736040115356445
PyTorch,47,0.8633333444595337,0.31635934114456177
PyTorch,48,0.8633333444595337,0.3154851496219635
PyTorch,49,0.8600000143051147,0.3146511912345886
PyTorch,50,0.8600000143051147,0.31380245089530945
PyTorch,51,0.8600000143051147,0.312838613986969
PyTorch,52,0.8633333444595337,0.3117579519748688
PyTorch,53,0.8600000143051147,0.3108108341693878
PyTorch,54,0.8633333444595337,0.3101145029067993
PyTorch,55,0.8600000143051147,0.30956169962882996
PyTorch,56,0.8600000143051147,0.3091050088405609
PyTorch,57,0.8600000143051147,0.3086329698562622
PyTorch,58,0.8600000143051147,0.30819588899612427
PyTorch,59,0.8600000143051147,0.3077883720397949
PyTorch,60,0.8600000143051147,0.307399719953537
PyTorch,61,0.8600000143051147,0.3070122003555298
PyTorch,62,0.8633333444595337,0.30664417147636414
PyTorch,63,0.8633333444595337,0.30628612637519836
PyTorch,64,0.8633333444595337,0.3059176504611969
PyTorch,65,0.8633333444595337,0.30553963780403137
PyTorch,66,0.8600000143051147,0.3051370680332184
PyTorch,67,0.8600000143051147,0.3046979010105133
PyTorch,68,0.8600000143051147,0.3042299151420593
PyTorch,69,0.8600000143051147,0.3037048876285553
PyTorch,70,0.8633333444595337,0.30300140380859375
PyTorch,71,0.8633333444595337,0.3021674156188965
PyTorch,72,0.8633333444595337,0.3011692762374878
PyTorch,73,0.8633333444595337,0.30013057589530945
PyTorch,74,0.8633333444595337,0.29923978447914124
PyTorch,75,0.8633333444595337,0.2983669936656952
PyTorch,76,0.8633333444595337,0.2976219058036804
PyTorch,77,0.8633333444595337,0.2972310185432434
PyTorch,78,0.8633333444595337,0.2969321310520172
PyTorch,79,0.8633333444595337,0.2965884208679199
PyTorch,80,0.8633333444595337,0.29617249965667725
PyTorch,81,0.8633333444595337,0.29566559195518494
PyTorch,82,0.8633333444595337,0.2950258255004883
PyTorch,83,0.8633333444595337,0.29435738921165466
PyTorch,84,0.8633333444595337,0.2936253249645233
PyTorch,85,0.8666666746139526,0.29283443093299866
PyTorch,86,0.8666666746139526,0.29200753569602966
PyTorch,87,0.8700000047683716,0.2911483645439148
PyTorch,88,0.8733333349227905,0.2903127670288086
PyTorch,89,0.8733333349227905,0.2895575761795044
PyTorch,90,0.8733333349227905,0.28871193528175354
PyTorch,91,0.8733333349227905,0.2877189517021179
PyTorch,92,0.8733333349227905,0.28674983978271484
PyTorch,93,0.8733333349227905,0.28580811619758606
PyTorch,94,0.8733333349227905,0.2849459946155548
PyTorch,95,0.8733333349227905,0.2839992344379425
PyTorch,96,0.8733333349227905,0.28293099999427795
PyTorch,97,0.8733333349227905,0.28172171115875244
PyTorch,98,0.8799999952316284,0.2805187404155731
PyTorch,99,0.8833333253860474,0.2793911099433899
